582;NOP;MIN;98;116;January 6, 2018
583;CLE;ORL;131;127;January 6, 2018
584;DEN;SAC;98;106;January 6, 2018
585;MIL;WAS;110;103;January 6, 2018
586;NYK;DAL;100;96;January 7, 2018
587;ATL;LAL;113;132;January 7, 2018
588;UTA;MIA;102;103;January 7, 2018
589;OKC;PHX;100;114;January 7, 2018
590;SAS;POR;110;111;January 7, 2018
591;TOR;BKN;114;113;January 8, 2018
592;HOU;CHI;116;107;January 8, 2018
593;DEN;GSW;114;124;January 8, 2018
594;MIL;IND;96;109;January 8, 2018
595;ATL;LAC;107;108;January 8, 2018
596;CLE;MIN;99;127;January 8, 2018
597;DET;NOP;109;112;January 8, 2018
598;SAS;SAC;107;100;January 8, 2018
599;ORL;DAL;99;114; January 9, 2018
600;SAC;LAL;86;99; January 9, 2018
601;POR;OKC;117;106; January 9, 2018
602;MIA;TOR;90;89; January 9, 2018
603;DET;BKN;114;80;January 10, 2018
604;DAL;CHA;115;111;January 10, 2018
605;ATL;DEN;110;97;January 10, 2018
606;LAC;GSW;125;106;January 10, 2018
607;POR;HOU;112;121;January 10, 2018
608;MIA;IND;114;106;January 10, 2018
609;NOP;MEM;102;105;January 10, 2018
610;ORL;MIL;103;110;January 10, 2018
611;OKC;MIN;88;104;January 10, 2018
612;CHI;NYK;122;119;January 10, 2018
613;UTA;WAS;107;104;January 10, 2018
614;SAS;LAL;81;93;January 11, 2018
615;BOS;PHI;114;103;January 11, 2018
616;LAC;SAC;121;115;January 11, 2018
617;CLE;TOR;99;133;January 11, 2018
618;BKN;ATL;110;105;January 12, 2018
619;UTA;CHA;88;99;January 12, 2018
620;MEM;DEN;78;87;January 12, 2018
621;CLE;IND;95;97;January 12, 2018
622;GSW;MIL;108;94;January 12, 2018
623;NYK;MIN;108;118;January 12, 2018
624;POR;NOP;113;119;January 12, 2018
625;HOU;PHX;112;95;January 12, 2018
626;ORL;WAS;119;125;January 12, 2018
627;DET;CHI;105;107;January 13, 2018
628;OKC;CHA;101;91;January 13, 2018
629;LAL;DAL;107;101;January 13, 2018
630;SAC;LAC;105;126;January 13, 2018
631;DEN;SAS;80;112;January 13, 2018
632;GSW;TOR;127;125;January 13, 2018
633;BKN;WAS;113;119;January 13, 2018
